"NDB_No","Nutrient_Code","Nutrient_name","Derivation_Code","Output_value","Output_uom"
"45127487","204","Total lipid (fat)","LCGA","18.9","g"
"45127487","205","Carbohydrate, by difference","LCGA","72.8","g"
"45127487","207","Ash","LCGA","2.0","g"
"45127487","255","Water","LCGA","2.0","g"
"45127487","269","Sugars, total","LCGA","39.3","g"
"45127487","291","Fiber, total dietary","LCGA","2.5","g"
"45127487","295","Fiber, soluble","LCGA","0.0","g"
"45127487","297","Fiber, insoluble","LCGA","1.0","g"
"45127487","301","Calcium, Ca","LCGA","28.0","mg"
"45127487","303","Iron, Fe","LCGA","1.6","mg"
"45127487","304","Magnesium, Mg","LCGA","28.0","mg"
"45127487","305","Phosphorus, P","LCGA","71.0","mg"
"45127487","306","Potassium, K","LCGA","291.0","mg"
"45127487","307","Sodium, Na","LCGA","353.0","mg"
"45127487","309","Zinc, Zn","LCGA","0.3","mg"
"45127487","318","Vitamin A, IU","LCGA","40.0","IU"
"45127487","324","Vitamin D","LCGA","1.0","IU"
"45127487","401","Vitamin C, total ascorbic acid","LCGA","1.0","mg"
"45127487","404","Thiamin","LCGA","0.0","mg"
"45127487","405","Riboflavin","LCGA","0.19","mg"
"45127487","406","Niacin","LCGA","2.1","mg"
"45127487","415","Vitamin B-6","LCGA","0.01","mg"
"45127487","417","Folate, total","LCGA","66.0","mcg"
"45127487","601","Cholesterol","LCGA","0.0","mg"
"45127487","605","Fatty acids, total trans","LCGA","0.4","g"
"45127487","606","Fatty acids, total saturated","LCGA","13.2","g"
"45127487","645","Fatty acids, total monounsaturated","LCGA","1.9","g"
"45127487","646","Fatty acids, total polyunsaturated","LCGA","3.2","g"
"45128706","203","Protein","LCGA","10.1","g"
"45128706","204","Total lipid (fat)","LCGA","8.5","g"
"45128706","205","Carbohydrate, by difference","LCGA","76.4","g"
"45128706","207","Ash","LCGA","2.5","g"
"45128706","208","Energy","LCGA","416.0","kcal"
"45128706","255","Water","LCGA","2.5","g"
"45128706","269","Sugars, total","LCGA","3.0","g"
"45128706","291","Fiber, total dietary","LCGA","2.7","g"
"45128706","295","Fiber, soluble","LCGA","1.0","g"
"45128706","297","Fiber, insoluble","LCGA","2.0","g"
"45128706","301","Calcium, Ca","LCGA","17.0","mg"
"45128706","303","Iron, Fe","LCGA","4.7","mg"
"45128706","304","Magnesium, Mg","LCGA","22.0","mg"
"45128706","305","Phosphorus, P","LCGA","107.0","mg"
"45128706","306","Potassium, K","LCGA","106.0","mg"
"45128706","307","Sodium, Na","LCGA","1495.0","mg"
"45128706","309","Zinc, Zn","LCGA","0.7","mg"
"45128706","318","Vitamin A, IU","LCGA","0.0","IU"
"45128706","324","Vitamin D","LCGA","0.0","IU"
"45128706","340","Vitamin E (label entry primarily)","LCGA","0.0","IU"
"45128706","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45128706","404","Thiamin","LCGA","1.0","mg"
"45128706","405","Riboflavin","LCGA","0.48","mg"
"45128706","406","Niacin","LCGA","5.8","mg"
"45128706","415","Vitamin B-6","LCGA","0.04","mg"
"45128706","417","Folate, total","LCGA","153.0","mcg"
"45128706","418","Vitamin B-12","LCGA","0.0","mcg"
"45128706","601","Cholesterol","LCGA","0.0","mg"
"45128706","605","Fatty acids, total trans","LCGA","0.1","g"
"45128706","606","Fatty acids, total saturated","LCGA","1.3","g"
"45128706","645","Fatty acids, total monounsaturated","LCGA","1.9","g"
"45128706","646","Fatty acids, total polyunsaturated","LCGA","4.8","g"
"45244107","203","Protein","LCGA","7.5","g"
"45244107","204","Total lipid (fat)","LCGA","0.4","g"
"45244107","205","Carbohydrate, by difference","LCGA","84.4","g"
"45244107","207","Ash","LCGA","4.7","g"
"45244107","255","Water","LCGA","3.0","g"
"45244107","269","Sugars, total","LCGA","9.3","g"
"45244107","291","Fiber, total dietary","LCGA","1.2","g"
"45244107","295","Fiber, soluble","LCGA","0.0","g"
"45244107","297","Fiber, insoluble","LCGA","1.0","g"
"45244107","301","Calcium, Ca","LCGA","6.0","mg"
"45244107","303","Iron, Fe","LCGA","13.3","mg"
"45244107","304","Magnesium, Mg","LCGA","40.0","mg"
"45244107","305","Phosphorus, P","LCGA","87.0","mg"
"45244107","306","Potassium, K","LCGA","169.0","mg"
"45244107","307","Sodium, Na","LCGA","638.0","mg"
"45244107","309","Zinc, Zn","LCGA","1.0","mg"
"45244107","312","Copper, Cu","LCGA","0.0","mg"
"45244107","315","Manganese, Mn","LCGA","0.0","mg"
"45244107","317","Selenium, Se","LCGA","0.0","mcg"
"45244107","318","Vitamin A, IU","LCGA","0.0","IU"
"45244107","324","Vitamin D","LCGA","0.0","IU"
"45244107","340","Vitamin E (label entry primarily)","LCGA","0.0","IU"
"45244107","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45244107","404","Thiamin","LCGA","2.0","mg"
"45244107","405","Riboflavin","LCGA","2.6","mg"
"45244107","406","Niacin","LCGA","4.8","mg"
"45244107","410","Pantothenic acid","LCGA","1.6","mg"
"45244107","415","Vitamin B-6","LCGA","0.6","mg"
"45244107","417","Folate, total","LCGA","60.0","mcg"
"45244107","418","Vitamin B-12","LCGA","0.0","mcg"
"45244107","601","Cholesterol","LCGA","0.0","mg"
"45244107","605","Fatty acids, total trans","LCGA","0.0","g"
"45244107","606","Fatty acids, total saturated","LCGA","0.1","g"
"45244107","645","Fatty acids, total monounsaturated","LCGA","0.1","g"
"45244107","646","Fatty acids, total polyunsaturated","LCGA","0.2","g"
"45244133","203","Protein","LCGA","3.4","g"
"45244133","204","Total lipid (fat)","LCGA","23.8","g"
"45244133","205","Carbohydrate, by difference","LCGA","69.5","g"
"45244133","207","Ash","LCGA","1.5","g"
"45244133","255","Water","LCGA","1.8","g"
"45244133","269","Sugars, total","LCGA","34.5","g"
"45244133","291","Fiber, total dietary","LCGA","1.7","g"
"45244133","295","Fiber, soluble","LCGA","1.0","g"
"45244133","297","Fiber, insoluble","LCGA","1.0","g"
"45244133","301","Calcium, Ca","LCGA","30.0","mg"
"45244133","303","Iron, Fe","LCGA","2.3","mg"
"45244133","304","Magnesium, Mg","LCGA","9.0","mg"
"45244133","305","Phosphorus, P","LCGA","94.0","mg"
"45244133","306","Potassium, K","LCGA","112.0","mg"
"45244133","307","Sodium, Na","LCGA","266.0","mg"
"45244133","309","Zinc, Zn","LCGA","0.2","mg"
"45244133","401","Vitamin C, total ascorbic acid","LCGA","0.0","mg"
"45244133","404","Thiamin","LCGA","0.0","mg"
"45244133","405","Riboflavin","LCGA","0.18","mg"
"45244133","415","Vitamin B-6","LCGA","0.02","mg"
"45244133","417","Folate, total","LCGA","325.0","mcg"
"45244133","418","Vitamin B-12","LCGA","0.0","mcg"
"45244133","431","Folic acid","LCGA","195.0","mcg"
"45244133","601","Cholesterol","LCGA","1.0","mg"
"45244133","605","Fatty acids, total trans","LCGA","0.2","g"
"45244133","606","Fatty acids, total saturated","LCGA","14.6","g"
"45244133","645","Fatty acids, total monounsaturated","LCGA","3.0","g"
"45244133","646","Fatty acids, total polyunsaturated","LCGA","5.6","g"
"45288431","203","Protein","LCCS","9.09","g"
"45288431","204","Total lipid (fat)","LCCS","3.41","g"
"45288431","205","Carbohydrate, by difference","LCCS","40.91","g"
"45288431","208","Energy","LCCS","273.0","kcal"
"45288431","269","Sugars, total","LCCS","13.64","g"
"45288431","291","Fiber, total dietary","LCCS","2.3","g"
"45288431","295","Fiber, soluble","LCCS","0.0","g"
"45288431","297","Fiber, insoluble","LCCS","0.0","g"
"45288431","301","Calcium, Ca","LCCS","93.0","mg"
"45288431","303","Iron, Fe","LCCS","2.27","mg"
"45288431","306","Potassium, K","LCCS","20.0","mg"
"45288431","307","Sodium, Na","LCCS","364.0","mg"
"45288431","324","Vitamin D","LCCD","0.0","IU"
"45288431","404","Thiamin","LCCS","1.0","mg"
"45288431","405","Riboflavin","LCCS","0.455","mg"
"45288431","406","Niacin","LCCS","4.545","mg"
"45288431","435","Folate, DFE","LCCS","98.0","mcg"
"45288431","539","Sugars, added","LCCS","13.6","g"
"45288431","601","Cholesterol","LCCD","0.0","mg"
"45288431","605","Fatty acids, total trans","LCCS","0.0","g"
"45288431","606","Fatty acids, total saturated","LCCD","0.0","g"
"45288431","645","Fatty acids, total monounsaturated","LCCS","0.0","g"
"45288431","646","Fatty acids, total polyunsaturated","LCCS","1.14","g"
"45332440","203","Protein","LCCS","55.56","g"
"45332440","204","Total lipid (fat)","LCCS","9.72","g"
"45332440","205","Carbohydrate, by difference","LCCS","22.22","g"
"45332440","208","Energy","LCCS","389.0","kcal"
"45332440","269","Sugars, total","LCCS","8.33","g"
"45332440","284","Carbohydrate, other","LCCS","3.0","g"
"45332440","291","Fiber, total dietary","LCCS","8.3","g"
"45332440","295","Fiber, soluble","LCCS","6.0","g"
"45332440","301","Calcium, Ca","LCCD","0.0","mg"
"45332440","303","Iron, Fe","LCCD","0.0","mg"
"45332440","306","Potassium, K","LCCS","236.0","mg"
"45332440","307","Sodium, Na","LCCS","778.0","mg"
"45332440","318","Vitamin A, IU","LCCD","0.0","IU"
"45332440","401","Vitamin C, total ascorbic acid","LCCD","0.0","mg"
"45332440","601","Cholesterol","LCCD","0.0","mg"
"45332440","605","Fatty acids, total trans","LCCS","0.0","g"
"45332440","606","Fatty acids, total saturated","LCCS","1.39","g"
"45332543","203","Protein","LCCS","5.57","g"
"45332543","204","Total lipid (fat)","LCCS","3.92","g"
