"NDB_No","Serving_Size","Serving_Size_UOM","Household_Serving_Size","Household_Serving_Size_UOM","Preparation_State"
"45005282","21.0","g","1.0","Tbsp",""
"45058082","14.0","g","1.0","Tbsp",""
"45085789","100.0","g","100.0","GRM",""
"45086607","30.0","g","2.0","Tbsp",""
"45106296","30.0","g","2.0","Tbsp",""
"45109771","41.0","g","1.0","PACK",""
"45127487","29.0","g","14.0","Cookies","UNPREPARED"
"45128706","12.0","g","1.0","Package","UNPREPARED"
"45138627","236.0","ml","8.0","OZA",""
"45159236","250.0","ml","250.0","MLT",""
"45170764","240.0","ml","1.0","BAG MAKES",""
"45189128","100.0","g","2.0","SLICES 3 DIAMETER",""
"45205945","2.8","g","1.0","PIECE",""
"45220037","237.0","ml","8.0","OZA",""
"45244107","","g","100.0","grams","UNPREPARED"
"45244133","28.0","g","2.0","Cookies","UNPREPARED"
"45260550","15.4","ml","1.0","CDA.) | (",""
"45261826","500.0","ml","100.0","ML | NUTRIENT PER",""
"45284174","2.0","g","14.0","MINTS",""
"45288271","50.0","g","1.0","BAR",""
"45288431","44.0","g","1.0","BUN",""
"45293308","15.0","g","2.0","LEVEL TBSP.) | (",""
"45297532","113.0","g","4.0","ONZ",""
"45332440","","g","2.0","SCOOPS) | (",""
"45332543","","ml","8.0","OZA",""
"45332699","","g","1.0","SCOOP",""
"45337413","","g","1.0","PACKET",""
"45342004","30.0","g","5.0","Tbsp",""
"45350090","5.0","g","0.17","ONZ",""
"45353010","50.0","g","1.0","BAR",""
"45354014","473.0","ml","473.0","MLT",""
"45357682","28.0","g","0.25","CUP | ABOUT",""
"45360952","15.0","g","0.5","ONZ",""
"45361030","237.0","ml","8.0","OZA",""
"45375020","240.0","ml","8.0","oz","PREPARED"
"45302674","40.0","g","0.5","cup",""
"45189910","240.0","ml","1.0","cup",""
"45193512","4.0","g","1.0","tsp",""
"45365651","50.0","g","1.0","EGG",""
"45326055","0.25","g","0.333","SEC. SPRAY",""
"45088481","1.5","g","1.0","tsp",""
"45208890","52.0","g","2.0","SLICES",""
"45102018","28.0","g","1.0","ONZ",""
