"NDB_No","Nutrient_Code","Nutrient_name","Derivation_Code","Output_value","Output_uom"
"45302674","203","Protein","LCCS","12.5","g"
"45302674","204","Total lipid (fat)","LCCS","7.5","g"
"45302674","205","Carbohydrate, by difference","LCCS","67.5","g"
"45302674","208","Energy","LCCS","375.0","kcal"
"45302674","269","Sugars, total","LCCS","2.5","g"
"45302674","291","Fiber, total dietary","LCCS","10.0","g"
"45302674","295","Fiber, soluble","LCCS","5.0","g"
"45302674","301","Calcium, Ca","LCCD","0.0","mg"
"45302674","303","Iron, Fe","LCCD","3.6","mg"
"45302674","304","Magnesium, Mg","LCCD","100.0","mg"
"45302674","305","Phosphorus, P","LCCD","375.0","mg"
"45302674","307","Sodium, Na","LCCD","0.0","mg"
"45302674","318","Vitamin A, IU","LCCD","0.0","IU"
"45302674","324","Vitamin D","LCCD","0.0","IU"
"45302674","401","Vitamin C, total ascorbic acid","LCCD","0.0","mg"
"45302674","404","Thiamin","LCCD","0.0","mg"
"45302674","601","Cholesterol","LCCD","0.0","mg"
"45302674","605","Fatty acids, total trans","LCCS","0.0","g"
"45302674","606","Fatty acids, total saturated","LCCS","1.25","g"
"45302674","645","Fatty acids, total monounsaturated","LCCS","2.5","g"
"45302674","646","Fatty acids, total polyunsaturated","LCCS","2.5","g"
"45189910","203","Protein","LCCS","3.33","g"
"45189910","204","Total lipid (fat)","LCCD","0.0","g"
"45189910","205","Carbohydrate, by difference","LCCS","5.0","g"
"45189910","208","Energy","LCCS","35.0","kcal"
"45189910","269","Sugars, total","LCCS","5.0","g"
"45189910","291","Fiber, total dietary","LCCD","0.0","g"
"45189910","301","Calcium, Ca","LCCD","121.0","mg"
"45189910","303","Iron, Fe","LCCD","0.0","mg"
"45189910","307","Sodium, Na","LCCS","43.0","mg"
"45189910","318","Vitamin A, IU","LCCD","208.0","IU"
"45189910","324","Vitamin D","LCCD","48.0","IU"
"45189910","401","Vitamin C, total ascorbic acid","LCCD","0.0","mg"
"45189910","601","Cholesterol","LCCS","2.0","mg"
"45189910","605","Fatty acids, total trans","LCCS","0.0","g"
"45189910","606","Fatty acids, total saturated","LCCD","0.0","g"
"45193512","203","Protein","LCCS","0.0","g"
"45193512","204","Total lipid (fat)","LCCD","0.0","g"
"45193512","205","Carbohydrate, by difference","LCCS","100.0","g"
"45193512","208","Energy","LCCS","375.0","kcal"
"45193512","269","Sugars, total","LCCS","100.0","g"
"45193512","307","Sodium, Na","LCCD","0.0","mg"
"45365651","203","Protein","LCCS","12.0","g"
"45365651","204","Total lipid (fat)","LCCS","10.0","g"
"45365651","205","Carbohydrate, by difference","LCCD","0.0","g"
"45365651","208","Energy","LCCS","140.0","kcal"
"45365651","269","Sugars, total","LCCS","0.0","g"
"45365651","291","Fiber, total dietary","LCCD","0.0","g"
"45365651","301","Calcium, Ca","LCCS","56.0","mg"
"45365651","303","Iron, Fe","LCCS","2.0","mg"
"45365651","306","Potassium, K","LCCS","138.0","mg"
