"NDB_No","Serving_Size","Serving_Size_UOM","Household_Serving_Size","Household_Serving_Size_UOM","Preparation_State"
"45302674","40.0","g","0.5","cup",""
"45189910","240.0","ml","1.0","cup",""
"45193512","4.0","g","1.0","tsp",""
"45365651","50.0","g","1.0","EGG",""
"45326055","0.25","g","0.333","SEC. SPRAY",""
"45088481","1.5","g","1.0","tsp",""
"45208890","52.0","g","2.0","SLICES",""
"45102018","28.0","g","1.0","ONZ",""
"45272510","148.0","g","1.0","MEDIUM TOMATO",""
"45079317","2.0","g","1.0","TEA BAG, (MAKES 8 FL OZ PREPARED)",""
"45326001","30.0","ml","2.0","Tbsp",""
"45365899","8.0","g","2.0","tsp",""
"45077785","85.0","g","3.0","CUPS | ABOUT",""
"45037032","130.0","g","0.5","cup",""
"45062219","28.0","g","2.0","Tbsp",""
"45272089","4.0","g","1.0","tsp",""
"45037285","14.0","g","1.0","Tbsp",""
"45329080","1.2","ml","0.25","tsp",""
"45350947","30.0","g","0.25","cup",""
"45090966","0.6","g","1.0","tsp",""
"45233890","240.0","ml","1.0","cup",""
