"NDB_Number","long_name","data_source","gtin_upc","manufacturer","date_modified","date_available","ingredients_english"
"45005282","SUGAR FREE IMITATION HONEY","LI","072223000259","HONEYTREE'S","2017-07-14 18:16:27","2017-07-14 18:16:27","MALTITOL SYRUP, NATURAL AND ARTIFICIAL FLAVOR, ACESULFAME K, MALIC ACID."
"45058082","CARRINGTON FARMS, ORGANIC EXTRA VIRGIN COCONUT OIL","LI","742392701140","The Carrington Tea Company LLC.","2017-10-13 07:41:09","2017-10-13 07:41:09","100% UNREFINED ORGANIC EXTRA VIRGIN COCONUT OIL."
"45085789","LINCHEN, COOKING SHAOHSING WINE","LI","085037003118","Linchen, Inc.","2018-04-06 03:30:36","2018-04-06 03:30:36","WATER, RICE, WHEAT, SALT, CARAMEL"
"45086607","MILK FREE SOUR CREAM","LI","020188060139","TOFUTTI","2018-03-11 05:13:33","2018-03-11 05:13:33","WATER, EXPELLER PROCESSED NATURAL OIL BLEND (SOYBEAN, PALM FRUIT AND OLIVE), MALTODEXTRIN, SOY PROTEIN, TOFU, NON DAIRY LACTIC ACID, ORGANIC SUGAR, BLEND OF NATURAL GUMS (LOCUST BEAN, GUAR, CELLULOSE, XANTHAN AND CARRAGEENAN), VEG. MONO AND DIGLYCERIDES, SALT."
"45106296","ORGANIC DRESSING","LI","855377003051","Toby Farms","2017-06-25 11:08:33","2017-06-25 11:08:33","WATER, ORGANIC KALE, ORGANIC CARROT, ORGANIC RICE VINEGAR, ORGANIC CANE SUGAR, ORGANIC GARLIC, ORGANIC LEMON JUICE CONCENTRATE, SEA SALT, (RED CABBAGE JUICE AND TURMERIC) [FOR COLOR], ORGANIC XANTHAN GUM, SPICES, NATURAL FLAVOR, ORGANIC CELERY SEED."
"45109771","SPORT PERFORMANCE PROTEIN DRINK MIX","LI","838766008653","VEGA","2018-06-06 09:19:42","2018-06-06 09:19:42","PEA PROTEIN, ORGANIC PUMPKIN SEED PROTEIN, ORGANIC SUNFLOWER SEED PROTEIN, ALFALFA PROTEIN, TART CHERRY, PROBIOTICS (BACILLUS COAGULANS [PROVIDES 1 BILLION CFU/SERVING]), BROMELAIN, TURMERIC EXTRACT, BLACK PEPPER EXTRACT. CONTAINS LESS THAN 2% OF: SEA SALT, NATURAL CARAMEL FLAVOR, NATURAL VANILLA FLAVOR, STEVIA EXTRACT, XANTHAN GUM."
"45127487","KEEBLER MIXED COOKIES CHOCOLATE 3OZ","GDSN","00030100585541","Kellogg Company US","2017-02-07 04:04:51","2017-02-07 05:00:51","ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON,  THIAMIN MONONITRATE  [VITAMIN B1], RIBOFLAVIN  [VITAMIN B2], FOLIC ACID), SUGAR, VEGETABLE OIL (HYDROGENATED AND/OR PARTIALLY HYDROGENATED PALM KERNEL, PALM AND/OR COCONUT OIL, SOYBEAN, PALM, AND PALM KERNEL OIL), COCOA PROCESSED WITH ALKALI, HIGH FRUCTOSE CORN SYRUP,  CONTAINS TWO PERCENT OR LESS OF WHEY, SEMISWEET CHOCOLATE (SUGAR, CHOCOLATE, DEXTROSE), SALT, SOY LECITHIN, LEAVENING (BAKING SODA, SODIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE) , NATURAL AND ARTIFICIAL FLAVORS, POLYSORBATE 60, SORBITAN MONOSTEARATE, MOLASSES, DATEM."
"45128706","SUNSHINE KRISPY SALTINES .4OZ","GDSN","00024100130580","Kellogg Company US","2017-05-12 11:33:39","2017-05-12 13:00:25","ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, VITAMIN B1 [THIAMIN MONONITRATE], VITAMIN B2 [RIBOFLAVIN], FOLIC ACID), SOYBEAN OIL WITH TBHQ FOR FRESHNESS, SALT, CORN SYRUP, CONTAINS 2% OR LESS OF LEAVENING (BAKING SODA, YEAST), SOY LECITHIN."
"45138627","CLEANSE FRUIT JUICE","LI","856998004090","Powerhouse Beverage Company, LLC","2017-09-11 04:15:19","2017-09-11 04:15:19","COLD-PRESSED APPLE CIDER WITH PASSION FRUIT, COCONUT MILK BLEND, GREEN TEA MATCHA."
"45159236","OKA, ALOE, APPLE","LI","712098455166","B & L Distributors","2018-04-06 01:09:24","2018-04-06 01:09:24","WATER, FRUCTOSE, ALOE VERA CRUNCH, SUGAR, APPLE CONCENTRATE, CALIUM LACTATE, CITRIC ACID, SODIUM CITRATE, APPLE FLAVOUR, GELLAN GUM, VITAMIN C."
